"barcode","dataset","PAX8","GATA3","ESR1"
"TCGA-A8-A096-01A-11R-A00Z-07","BRCA.mRNA",0.629,1.455,4.24816666666667
"TCGA-A8-A097-01A-11R-A034-07","BRCA.mRNA",0.299,1.271125,3.6665
"TCGA-A8-A099-01A-11R-A00Z-07","BRCA.mRNA",-0.5225,2.345125,5.339
"TCGA-A8-A09A-01A-11R-A00Z-07","BRCA.mRNA",0.142,2.356375,3.54441666666667
"TCGA-A8-A09B-01A-11R-A00Z-07","BRCA.mRNA",0.7955,2.38375,4.484
"TCGA-A8-A09C-01A-11R-A00Z-07","BRCA.mRNA",-1.46075,2.1285,4.634
"TCGA-A8-A09D-01A-11R-A00Z-07","BRCA.mRNA",-0.4105,2.2375,1.90508333333333
"TCGA-A8-A09E-01A-11R-A00Z-07","BRCA.mRNA",-0.4565,2.267,4.78641666666667
"TCGA-A8-A09G-01A-21R-A00Z-07","BRCA.mRNA",-0.56675,0.339125,-0.0699166666666667
"TCGA-A8-A09I-01A-22R-A034-07","BRCA.mRNA",-0.34,2.349625,3.04125
"TCGA-A8-A09K-01A-11R-A00Z-07","BRCA.mRNA",-1.16366666666667,3.49425,5.24433333333333
"TCGA-A8-A09M-01A-11R-A00Z-07","BRCA.mRNA",1.2175,0.92275,4.78391666666667
"TCGA-A8-A09N-01A-11R-A00Z-07","BRCA.mRNA",0.6015,2.12075,4.39425
"TCGA-A8-A09Q-01A-11R-A00Z-07","BRCA.mRNA",0.427,1.640375,4.78766666666667
"TCGA-A8-A09R-01A-11R-A00Z-07","BRCA.mRNA",0.23,1.9755,3.26066666666667
"TCGA-A8-A09T-01A-11R-A00Z-07","BRCA.mRNA",-1.19175,2.037625,3.839
"TCGA-A8-A09V-01A-11R-A034-07","BRCA.mRNA",-1.239,2.51825,3.74716666666667
"TCGA-A8-A09W-01A-11R-A00Z-07","BRCA.mRNA",0.40675,1.120125,3.39941666666667
"TCGA-A8-A09X-01A-11R-A00Z-07","BRCA.mRNA",-0.55175,0.006125,-2.10583333333333
"TCGA-A8-A09Z-01A-11R-A00Z-07","BRCA.mRNA",0.612666666666667,2.449875,4.00733333333333
"TCGA-A8-A0A1-01A-11R-A00Z-07","BRCA.mRNA",0.6355,2.705,4.92641666666667
"TCGA-A8-A0A2-01A-11R-A034-07","BRCA.mRNA",0.703,2.8435,4.87116666666667
"TCGA-A8-A0A4-01A-11R-A00Z-07","BRCA.mRNA",-0.72675,1.699125,3.37958333333333
"TCGA-A8-A0A6-01A-12R-A056-07","BRCA.mRNA",-0.8085,1.90475,2.52491666666667
"TCGA-A8-A0A7-01A-11R-A040-07","BRCA.mRNA",-0.1115,-1.107125,-1.39983333333333
"TCGA-A8-A0A9-01A-11R-A00Z-07","BRCA.mRNA",-0.493,1.9605,4.62866666666667
"TCGA-A8-A0AB-01A-11R-A034-07","BRCA.mRNA",-0.4955,2.494375,5.27958333333333
"TCGA-A8-A0AD-01A-11R-A056-07","BRCA.mRNA",-0.85325,1.520375,4.87691666666667
"TCGA-AN-A03X-01A-21R-A00Z-07","BRCA.mRNA",0.07575,1.69175,4.02208333333333
"TCGA-AN-A03Y-01A-21R-A00Z-07","BRCA.mRNA",-0.2135,3.0045,4.526
"TCGA-AN-A041-01A-11R-A034-07","BRCA.mRNA",0.3135,2.470625,3.28208333333333
"TCGA-AN-A046-01A-21R-A034-07","BRCA.mRNA",-1.1355,1.72375,4.57475
"TCGA-AN-A049-01A-21R-A00Z-07","BRCA.mRNA",0.651,2.16725,4.77666666666667
"TCGA-AN-A04A-01A-21R-A034-07","BRCA.mRNA",0.246,1.87125,2.67216666666667
"TCGA-AN-A04C-01A-21R-A034-07","BRCA.mRNA",0.51175,-0.16375,-0.113416666666667
"TCGA-AN-A04D-01A-21R-A034-07","BRCA.mRNA",-1.87875,-4.942875,-4.11025
"TCGA-AN-A0AJ-01A-11R-A00Z-07","BRCA.mRNA",-0.71925,1.624375,3.91625
"TCGA-AN-A0AK-01A-21R-A00Z-07","BRCA.mRNA",-0.83925,2.239125,3.86008333333333
"TCGA-AN-A0AL-01A-11R-A00Z-07","BRCA.mRNA",-0.99775,-1.5975,-3.01625
"TCGA-AN-A0AM-01A-11R-A034-07","BRCA.mRNA",-1.154,1.8045,4.60075
"TCGA-AN-A0AR-01A-11R-A00Z-07","BRCA.mRNA",-1.3755,0.363375,-2.32108333333333
"TCGA-AN-A0AS-01A-11R-A00Z-07","BRCA.mRNA",0.054,1.28725,2.422
"TCGA-AN-A0AT-01A-11R-A034-07","BRCA.mRNA",-0.23575,-3.624,-3.71841666666667
"TCGA-AN-A0FD-01A-11R-A034-07","BRCA.mRNA",-0.4805,2.69875,4.30483333333333
"TCGA-AN-A0FF-01A-11R-A034-07","BRCA.mRNA",1.15825,3.17075,3.01766666666667
"TCGA-AN-A0FJ-01A-11R-A00Z-07","BRCA.mRNA",0.402,-3.624625,-4.13025
"TCGA-AN-A0FK-01A-11R-A034-07","BRCA.mRNA",0.30775,2.371375,5.18733333333333
"TCGA-AN-A0FL-01A-11R-A034-07","BRCA.mRNA",-0.3655,0.268875,-3.57741666666667
"TCGA-AN-A0FN-01A-11R-A034-07","BRCA.mRNA",-0.5895,1.244625,2.98083333333333
"TCGA-AN-A0FS-01A-11R-A034-07","BRCA.mRNA",-1.15833333333333,2.316125,4.643
"TCGA-AN-A0FT-01A-11R-A034-07","BRCA.mRNA",0.27725,2.315,2.87941666666667
"TCGA-AN-A0FV-01A-11R-A00Z-07","BRCA.mRNA",-0.29275,1.188625,-1.21458333333333
"TCGA-AN-A0FW-01A-11R-A034-07","BRCA.mRNA",-0.87325,1.27475,4.3
"TCGA-AN-A0FX-01A-11R-A034-07","BRCA.mRNA",0.398,-1.868375,-0.447833333333333
"TCGA-AN-A0FY-01A-11R-A034-07","BRCA.mRNA",-1.13225,2.180125,4.01541666666667
